iter	Logloss
190	0.6158617167
191	0.6158308168
192	0.6158038179
193	0.6157893167
194	0.6157654833
195	0.6157429795
196	0.6157040492
197	0.6156585448
198	0.6156297679
199	0.6155929473
200	0.6155591125
201	0.6155375455
202	0.6155003799
203	0.6154797773
204	0.6154579875
205	0.6154162037
206	0.6153835884
207	0.615354365
208	0.6153225098
209	0.6152912283
210	0.6152643216
211	0.6152404215
212	0.6152070773
213	0.6151850416
214	0.6151575031
215	0.6151347125
216	0.6151009729
217	0.6150720425
218	0.6150371441
219	0.6150099639
220	0.6149793599
221	0.6149311617
222	0.6149096329
223	0.6148942771
224	0.6148751622
225	0.6148506895
226	0.6148139058
227	0.6147758978
228	0.614750227
229	0.6147302193
230	0.6146908637
231	0.6146701622
232	0.6146489517
233	0.6146372781
234	0.614617503
235	0.6145974768
236	0.6145673364
237	0.6145405667
238	0.6145197686
239	0.6144983568
240	0.6144741785
241	0.6144614216
242	0.6143775553
243	0.6143473653
244	0.6143358917
245	0.6143217701
246	0.6142911983
247	0.6142671657
248	0.6142502178
249	0.6142273737
250	0.6141991623
251	0.6141783547
252	0.6141370473
253	0.6141204899
254	0.6141029386
255	0.614086373
256	0.6140404714
257	0.6140211876
258	0.6139959709
259	0.6139725513
260	0.6139573776
261	0.6139160201
262	0.6139065852
263	0.6138852312
264	0.613865712
265	0.6138406364
266	0.6138342596
267	0.6137986517
268	0.6137583273
269	0.6137339449
270	0.6137154139
271	0.6136839027
272	0.613670336
273	0.6136587482
274	0.6136338436
275	0.6135981029
276	0.6135819604
277	0.6135631523
278	0.6135426375
279	0.6135193345
280	0.613507241
281	0.613474359
282	0.6134446063
283	0.6134313269
284	0.6134194589
285	0.6134097367
286	0.6133920721
287	0.6133624365
288	0.6133461636
289	0.6133259191
290	0.6133102028
291	0.613291142
292	0.6132596079
293	0.6132402546
294	0.6132096301
295	0.6131810675
296	0.6131553026
297	0.6131288432
298	0.6131089407
299	0.6130857813
300	0.6130680124
301	0.6130535916
302	0.6130377025
303	0.6130124389
304	0.6129927723
305	0.6129851497
306	0.6129630883
307	0.612944587
308	0.6129226249
309	0.6129100417
310	0.612896889
311	0.6128819999
312	0.6128642883
313	0.6128482998
314	0.612830736
315	0.6128241276
316	0.6128081151
317	0.6127845832
318	0.6127588157
319	0.6127485101
320	0.6127202678
321	0.6127016582
322	0.6126863267
323	0.6126468607
324	0.6126236095
325	0.6126148162
326	0.6125992018
327	0.6125849072
328	0.6125719057
329	0.6125302336
330	0.6125165776
331	0.6124933921
332	0.6124733482
333	0.6124557972
334	0.6124399204
335	0.6124303662
336	0.6124000515
337	0.6123862443
338	0.612375566
339	0.6123570611
340	0.6123311531
341	0.6123168965
342	0.6123039827
343	0.6122685639
344	0.6122604241
345	0.6122375307
346	0.6122188138
347	0.6122045386
348	0.6121787875
349	0.6121654391
350	0.6121507296
351	0.6121428255
352	0.6121321848
353	0.6121213815
354	0.6120999954
355	0.6120873243
356	0.6120653063
357	0.6120538671
358	0.6120114386
359	0.6119977778
360	0.6119565844
361	0.6119473909
362	0.6119419609
363	0.6119261433
364	0.6119151429
365	0.6118987306
366	0.6118891462
367	0.6118810484
368	0.6118681108
369	0.6118389402
370	0.6118242825
371	0.611806583
372	0.6117939385
373	0.611781984
374	0.6117533169
375	0.6117429068
376	0.6117184421
377	0.6117069759
378	0.6116960535
379	0.6116762542
380	0.6116579604
381	0.6116453738
382	0.6116292876
383	0.6116015683
384	0.6115886682
385	0.611578203
386	0.6115656146
387	0.6115566548
388	0.6115512918
389	0.6115387806
390	0.6115048543
391	0.6114944353
392	0.6114818493
393	0.6114663988
394	0.6114390474
395	0.6114320201
396	0.6114052448
397	0.6113995081
398	0.6113867407
399	0.6113744628
400	0.6113651927
401	0.6113601509
402	0.6113542837
403	0.6113389505
404	0.6113221425
405	0.6113059906
406	0.6112957229
407	0.6112897319
408	0.6112707809
409	0.6112614147
410	0.6112436126
411	0.611235723
412	0.6112276096
413	0.6112165182
414	0.6111969737
415	0.6111795376
416	0.6111645661
417	0.6111468398
418	0.6111447609
419	0.6111303141
420	0.6111244147
421	0.61111617
422	0.6111051064
423	0.6110982839
424	0.6110881265
425	0.6110691723
426	0.6110549876
427	0.6110512782
428	0.6110403068
429	0.6110293667
430	0.6110186152
431	0.611010525
432	0.6110040034
433	0.6109993077
434	0.610991651
435	0.6109710702
436	0.6109646774
437	0.6109370953
438	0.6109050791
439	0.610899148
440	0.6108870455
441	0.6108659599
442	0.6108587015
443	0.6108519108
444	0.610846793
445	0.6108318694
446	0.6108237666
447	0.6108062085
448	0.6107932171
449	0.6107830763
450	0.6107710545
451	0.6107644637
452	0.610759281
453	0.6107445765
454	0.6107299115
455	0.6107002309
456	0.6106948757
457	0.6106848615
458	0.6106740386
459	0.610660929
460	0.6106518324
461	0.6106473558
462	0.6106410583
463	0.6106326105
464	0.6106204433
465	0.6106115051
466	0.6105844695
467	0.6105710491
468	0.6105548246
469	0.6105449147
470	0.6105366745
471	0.6105296671
472	0.6104929201
473	0.6104815922
474	0.6104724128
475	0.6104662001
476	0.6104600029
477	0.6104545893
478	0.6104457808
479	0.6104390341
480	0.6104233005
481	0.6104201599
482	0.6104089517
483	0.6103892953
484	0.6103802309
485	0.6103697682
486	0.6103661821
487	0.6103584354
488	0.6103464449
489	0.6103309298
490	0.6103151951
491	0.6103120015
492	0.6103058352
493	0.6102936997
494	0.6102867818
495	0.6102510472
496	0.6102450005
497	0.6102393444
498	0.6102284198
499	0.6102225881
500	0.6102149561
501	0.6101994479
502	0.6101903995
503	0.6101822799
504	0.6101726061
505	0.6101631527
506	0.6101572192
507	0.6101491978
508	0.610142337
509	0.6101329986
510	0.610125179
511	0.6101188639
512	0.6101098122
513	0.6101010125
514	0.6100959273
515	0.6100875269
516	0.6100719937
517	0.6100474995
518	0.6100299156
519	0.6099971685
520	0.6099876838
521	0.6099635681
522	0.6099586799
523	0.6099516734
524	0.6099399029
525	0.6099339977
526	0.6099303466
527	0.6099224965
528	0.6098919058
529	0.6098764989
530	0.6098722455
531	0.6098642997
532	0.6098520352
533	0.6098464673
534	0.6098429174
535	0.6098298696
536	0.6098219911
537	0.6098110418
538	0.6098038945
539	0.609777055
540	0.6097696239
541	0.6097679414
542	0.6097565683
543	0.609743084
544	0.6097303306
545	0.6097224708
546	0.6097180997
547	0.6097088749
548	0.6096877386
549	0.6096790581
550	0.6096712837
551	0.6096608718
552	0.6096427816
553	0.6096191929
554	0.6096036203
555	0.6095924825
556	0.6095838716
557	0.6095712333
558	0.6095505692
559	0.6095451986
560	0.6095379235
561	0.6095293987
562	0.6095228943
563	0.609508731
564	0.60950047
565	0.6094966705
566	0.609485055
567	0.6094800427
568	0.6094748956
569	0.6094385037
570	0.6094339385
571	0.6094277668
572	0.6094220968
573	0.6094181747
574	0.6094080921
575	0.6094018759
576	0.6093997489
577	0.6093889308
578	0.6093829706
579	0.6093752664
580	0.6093410929
581	0.6093278084
582	0.6093225002
583	0.6093068334
584	0.6092988474
585	0.6092930577
586	0.6092865722
587	0.6092837464
588	0.6092669265
589	0.6092522107
590	0.6092497289
591	0.6092454654
592	0.6092404146
593	0.6092334913
594	0.6092318831
595	0.6092261268
596	0.6092108581
597	0.6092073027
598	0.6091959241
599	0.6091901352
600	0.609183063
601	0.6091622128
602	0.6091542987
603	0.6091526417
604	0.6091449244
605	0.6091337047
606	0.6091206681
607	0.6091014599
608	0.6090914733
609	0.6090889569
610	0.6090786409
611	0.6090685603
612	0.6090644131
613	0.6090564215
614	0.6090509854
615	0.6090453678
616	0.6090357889
617	0.6090257494
618	0.6090204274
619	0.6090122754
620	0.6089963511
621	0.608993743
622	0.6089892815
623	0.6089794535
624	0.6089655444
625	0.6089500233
626	0.6089399498
627	0.6089343338
628	0.6089255093
629	0.6089198467
630	0.6089150599
631	0.608913669
632	0.608910936
633	0.6089074414
634	0.6089010206
635	0.6088982874
636	0.6088923562
637	0.6088689202
638	0.608858729
639	0.608849876
640	0.6088441686
641	0.6088342047
642	0.6088284659
643	0.608826935
644	0.6088205105
645	0.6088149529
646	0.6088089347
647	0.6088054305
648	0.608797747
649	0.6087876083
650	0.6087781405
651	0.6087589002
652	0.6087568992
653	0.6087495148
654	0.6087449065
655	0.6087318823
656	0.6087225254
657	0.6087182715
658	0.6087156118
659	0.6087111631
660	0.6087080061
661	0.6087026027
662	0.6086892352
663	0.6086826183
664	0.6086740987
665	0.6086719927
666	0.6086616167
667	0.6086543233
668	0.6086386977
669	0.6086353098
670	0.6086325389
671	0.6086287929
672	0.608620085
673	0.608610826
674	0.6086060411
675	0.6086005048
676	0.6085925535
677	0.6085811441
678	0.6085789638
679	0.608576435
680	0.6085702119
681	0.6085674615
682	0.6085623652
683	0.6085545383
684	0.6085496721
685	0.6085456825
686	0.6085382767
687	0.6085314569
688	0.6085292507
689	0.608521619
690	0.6085094554
691	0.6084976394
692	0.6084952632
693	0.6084808931
694	0.6084763823
695	0.6084750633
696	0.6084683299
697	0.6084679093
698	0.6084509977
699	0.6084493427
700	0.6084467269
701	0.6084371413
702	0.6084332329
703	0.6084237772
704	0.6084213146
705	0.6084152338
706	0.6084086581
707	0.608394826
708	0.6083764942
709	0.6083720264
710	0.6083670077
711	0.6083639783
712	0.6083622252
713	0.6083605011
714	0.6083572752
715	0.6083493856
716	0.6083429801
717	0.6083375498
718	0.6083331078
719	0.6083284461
720	0.6083135197
721	0.6083083643
722	0.6083040864
723	0.6082881374
724	0.608283616
725	0.6082705947
726	0.6082648696
727	0.6082590661
728	0.6082577645
729	0.6082552037
730	0.6082476887
731	0.6082389283
732	0.6082319937
733	0.6082233713
734	0.6082225075
735	0.6082153685
736	0.608213584
737	0.6082095055
738	0.6082062776
739	0.6082013929
740	0.6081791559
741	0.6081755041
742	0.6081681599
743	0.6081590136
744	0.6081454051
745	0.6081376528
746	0.6081294129
747	0.608128487
748	0.6081275621
749	0.6081222436
750	0.6081090718
751	0.60810151
752	0.6080972374
753	0.6080901218
754	0.6080778636
755	0.6080717217
756	0.6080667266
757	0.6080619055
758	0.6080606236
759	0.6080533594
760	0.6080491727
761	0.6080414173
762	0.6080315021
763	0.608016471
764	0.6080118219
765	0.6080057261
766	0.6079925049
767	0.6079885017
768	0.6079794844
769	0.6079655965
770	0.607956643
771	0.6079527099
772	0.6079479867
773	0.6079443899
774	0.6079434283
775	0.6079381808
776	0.6079319591
777	0.6079203556
778	0.60789871
779	0.6078956339
780	0.6078893299
781	0.6078647767
782	0.6078637094
783	0.6078617287
784	0.607859566
785	0.6078572869
786	0.607848892
787	0.6078331433
788	0.6078246397
789	0.6078222954
790	0.6078203805
791	0.6078145181
792	0.6078122614
793	0.607809344
794	0.6078063441
795	0.6078043219
796	0.6078024942
797	0.6077983733
798	0.6077841668
799	0.6077781932
800	0.6077771134
801	0.6077738927
802	0.6077702365
803	0.6077592367
804	0.6077534823
805	0.6077494083
806	0.6077455381
807	0.6077442358
808	0.6077414911
809	0.6077285209
810	0.6077180419
811	0.6077163099
812	0.6077136833
813	0.6077084384
814	0.6076982582
815	0.6076866679
816	0.6076821237
817	0.6076793353
818	0.6076775267
819	0.6076718385
820	0.6076641803
821	0.6076591781
822	0.6076550263
823	0.6076541087
824	0.6076484468
825	0.6076433833
826	0.6076357576
827	0.6076326435
828	0.6076253363
829	0.6076174109
830	0.6076132101
831	0.6076055427
832	0.6076022102
833	0.6075901431
834	0.6075833771
835	0.607572655
836	0.6075689495
837	0.6075630726
838	0.6075574559
839	0.6075376271
840	0.6075306734
841	0.607525261
842	0.6075238051
843	0.6075224701
844	0.6075193726
845	0.6075137739
846	0.607512195
847	0.6075076786
848	0.6075000913
849	0.6074959182
850	0.607488187
851	0.6074868931
852	0.6074792982
853	0.6074777596
854	0.6074710254
855	0.6074617075
856	0.6074600071
857	0.6074583382
858	0.6074572515
859	0.6074517875
860	0.6074467419
861	0.6074452497
862	0.607442944
863	0.6074382408
864	0.6074350711
865	0.6074209681
866	0.6074152646
867	0.6074083308
868	0.6074043356
869	0.6073930716
870	0.607391032
871	0.6073848666
872	0.6073756999
873	0.6073729441
874	0.6073650741
875	0.6073636077
876	0.6073492453
877	0.6073461455
878	0.6073411173
879	0.607340113
880	0.6073376913
881	0.6073315552
882	0.6073257585
883	0.607320042
884	0.6073148716
885	0.6073080455
886	0.6073067782
887	0.60729441
888	0.6072913913
889	0.6072785611
890	0.607273664
891	0.6072645773
892	0.6072553174
893	0.6072497437
894	0.6072443027
895	0.6072431099
896	0.6072345609
897	0.6072268165
898	0.6072242704
899	0.6072165588
900	0.607215176
901	0.6072028114
902	0.6071949476
903	0.6071921318
904	0.6071909206
905	0.607189491
906	0.6071883574
907	0.607186123
908	0.6071793883
909	0.6071730401
910	0.6071640904
911	0.6071572812
912	0.6071536682
913	0.6071508929
914	0.6071456806
915	0.6071401128
916	0.6071284335
917	0.6071255635
918	0.6071211222
919	0.6071163148
920	0.6071145657
921	0.6071051064
922	0.607104015
923	0.6071012139
924	0.6070948087
925	0.6070945486
926	0.6070843851
927	0.6070782328
928	0.6070717719
929	0.6070674776
930	0.6070603721
931	0.6070587036
932	0.6070462725
933	0.6070334202
934	0.6070308985
935	0.6070267826
936	0.6070235956
937	0.6070225345
938	0.6070207963
939	0.6070153406
940	0.6070062185
941	0.6069994229
942	0.6069917405
943	0.6069903393
944	0.6069825474
945	0.6069766972
946	0.6069758336
947	0.6069723273
948	0.606963616
949	0.6069486283
950	0.6069435359
951	0.6069373616
952	0.606919115
953	0.6069180116
954	0.6069162465
955	0.6069115069
956	0.6069112961
957	0.6069092237
958	0.6069078569
959	0.6069048781
960	0.6069020134
961	0.6068911141
962	0.6068845733
963	0.6068799451
964	0.606873758
965	0.6068708769
966	0.6068674015
967	0.6068628705
968	0.6068591753
969	0.6068565904
970	0.6068455986
971	0.6068415912
972	0.6068403653
973	0.6068377367
974	0.6068337952
975	0.6068322514
976	0.6068193221
977	0.606814791
978	0.6068138009
979	0.6068094491
980	0.6068070137
981	0.6068063243
982	0.6068001782
983	0.6067899272
984	0.606780271
985	0.6067793085
986	0.606775721
987	0.6067711765
988	0.6067680953
989	0.606765203
990	0.6067585269
991	0.6067519519
992	0.6067418758
993	0.606735633
994	0.6067257379
995	0.6067245501
996	0.6067235975
997	0.6067209629
998	0.6067176729
999	0.6067084142
